,title,description,exploitability,risk_level,cve_id,platform,consequences,privilege,access_vector,access_complexity,confidentiality_impact,integrity_impact,availability_impact
0,Identity Python PySAML2 security bypass,"Identity Python PySAML2 could allow a remote attacker to bypass security restrictions, caused by not validating the SAML document against an XML schema. By persuading a victim to open a specially-crafted XML document, an attacker could exploit this vulnerability to process invalid SAML XML documents.",Unproven,6.5,CVE-2021-21238,Identity Python PySAML2 6.4.1,Bypass Security,None,Network,Low,None,High,None
1,Identity Python PySAML2 security bypass,"Identity Python PySAML2 could allow a remote attacker to bypass security restrictions, caused by not ensure that a signed SAML document is correctly signed by the xmlsec1 binary. By persuading a victim to open a specially-crafted XML document, an attacker could exploit this vulnerability to process invalid SAML XML documents.",Unproven,6.5,CVE-2021-21239,Identity Python PySAML2 6.4.1,Bypass Security,None,Network,Low,None,High,None
2,Python PyCArg_repr function buffer overflow,"Python is vulnerable to a buffer overflow, caused by improper bounds checking by the PyCArg_repr function in _ctypes/callproc.c. By sending specially-crafted arguments to c_double.from_param, a remote attacker could overflow a buffer and execute arbitrary code on the system.",Unproven,9.8,CVE-2021-3177,Python Python 3.7,Gain Access,None,Network,Low,High,High,High
3,Python Flask-Security-Too package cross-site request forgery,"Python Flask-Security-Too package is vulnerable to cross-site request forgery, caused by improper validation of user-supplied input by the /login and /change endpoints. By persuading an authenticated user to visit a malicious Web site, a remote attacker could send a malformed HTTP request to obtain the authentication token information. An attacker could exploit this vulnerability to perform cross-site scripting attacks, Web cache poisoning, and other malicious activities.",Unproven,7.4,CVE-2021-21241,Python Flask-Security-Too package 3.3.0,Gain Access,None,Network,Low,High,None,None
4,Crossbar.io Autobahn|Python header injection,"Crossbar.io Autobahn|Python is vulnerable to HTTP header injection, caused by improper validation of input. By persuading a victim to visit a specially-crafted Web page, a remote attacker could exploit this vulnerability to inject arbitrary HTTP headers, which will allow the attacker to conduct various attacks against the vulnerable system, including cross-site scripting, cache poisoning or session hijacking.",Unproven,4.7,CVE-2020-35678,Crossbar.io Autobahn|Python 20.12.2,Data Manipulation,None,Network,Low,None,Low,None
5,python-apt denial of service,"python-apt is vulnerable to a denial of service, caused by various memory and file descriptor leaks in apt-python files python/arfile.cc, python/tag.cc, python/tarfile.cc. By persuading a victim to open a specially crafted file, a local attacker could exploit this vulnerability to consume all available resources.",Unproven,3.3,CVE-2020-27351,Python python-apt 1.1.0,Denial of Service,None,Local,Low,None,None,Low
6,OpenIDC Python OpenID Connect security bypass,"OpenIDC Python OpenID Connect could allow a remote attacker to bypass security restrictions, caused by multiple cryptographic issues. By sending a specially-crafted request, an attacker could exploit this vulnerability to perform replay attack and cipher downgrade.",Unproven,8.2,CVE-2020-26244,OpenIDC Python OpenID Connect 1.2.0,Bypass Security,None,Network,Low,Low,High,None
7,Python LXML cross-site scripting,"Python LXML is vulnerable to cross-site scripting, caused by improper validation of user-supplied input by the clean module. A remote attacker could exploit this vulnerability using a specially-crafted URL to execute script in a victim's Web browser within the security context of the hosting Web site, once the URL is clicked. An attacker could use this vulnerability to steal the victim's cookie-based authentication credentials.",Unproven,6.1,CVE-2020-27783,lxml lxml 3.3.4,Cross-Site Scripting,None,Network,Low,Low,Low,None
8,python-cryptography information disclosure,"python-cryptography could allow a remote attacker to obtain sensitive information, caused by a Bleichenbacher timing attack. By sending a specially-crafted request using the RSA decryption API, an attacker could exploit this vulnerability to obtain parts of the cipher text encrypted with RSA, and use this information to launch further attacks against the affected system.",Unproven,7.5,CVE-2020-25659,Python python-cryptography 3.2.0,Obtain Information,None,Network,Low,High,None,None
9,Apple macOS Big Sur security bypass,"Apple macOS Big Sur could allow a local attacker to bypass security restrictions, caused by multiple issues in the python or Ruby component. By using a specially-crafted application, an attacker could exploit this vulnerability to modify the file system.",Unproven,5.5,CVE-2020-27896,Apple macOS Big Sur 11.0.0,Bypass Security,None,Local,Low,None,High,None
10,Python-RSA information disclosure,"Python-RSA could allow a remote attacker to obtain sensitive information, caused by a Bleichenbacher timing attack. By sending a specially-crafted request using the RSA decryption API, an attacker could exploit this vulnerability to obtain parts of the cipher text encrypted with RSA, and use this information to launch further attacks against the affected system.",Unproven,5.3,CVE-2020-25658,Python-RSA Python-RSA 4.6,Obtain Information,None,Network,Low,Low,None,None
11,lookatme (python/pypi package) command execution,"lookatme (python/pypi package) could allow a remote authenticated attacker to execute arbitrary commands on the system, caused by an issue when automatically loading the built-in terminal and file_loader extensions. By persuading a victim to render a specially-crafted markdown, an attacker could exploit this vulnerability to execute arbitrary shell commands on the system.",Unproven,8.8,CVE-2020-15271,lookatme lookatme 2.2.0,Gain Access,None,Network,Low,High,High,High
12,Synopsys hub-rest-api-python (aka blackduck on PyPI) man-in-the-middle attack,"Synopsys hub-rest-api-python (aka blackduck on PyPI) is vulnerable to a man-in-the-middle attack, caused by improper validation of SSL certificates in certain cases. An attacker could exploit this vulnerability to launch a man-in-the-middle attack and gain access to the communication channel between endpoints to obtain sensitive information or further compromise the system.",Unproven,4.8,CVE-2020-27589,Synopsys hub-rest-api-python 0.0.25,Obtain Information,None,Adjacent Network,High,High,None,None
13,ReQuest Serious Play F3 Media Server information disclosure,"ReQuest Serious Play F3 Media Server could allow a remote attacker to obtain sensitive information, caused by a debug log disclosure vulnerability. By visiting the message_log page, a remote attacker could exploit this vulnerability to obtain the webserver's Python debug log file containing other sensitive information.",Unproven,7.5,,ReQuest Serious Play F3 Media Server 7.0.3,Obtain Information,None,Network,Low,High,None,None
14,Microsoft Visual Studio Code code execution,"Microsoft Visual Studio Code could allow a remote attacker to execute arbitrary code on the system, caused by an error when the Python extension loads a Jupyter notebook file. By persuading a victim to open specially-crafted content, an attacker could exploit this vulnerability to execute arbitrary code on the system with privileges of the victim.",Unproven,7.0,CVE-2020-16977,Microsoft Visual Studio Code,Gain Access,None,Local,High,High,High,High
15,Python multibytecodec_support.py unspecified,An unspecified error with CJK codec tests call eval() on content retrieved throug HTTP in multibytecodec_support.py in Python has an unknown impact and attack vector.,Unproven,5.3,CVE-2020-27619,Python Python 3.0,Gain Access,None,Network,Low,None,Low,None
16,Python http.client CRLF injection,"Python is vulnerable to CRLF injection, caused by improper validation of user-supplied input in http.client. By inserting CR and LF control characters in the first argument of HTTPConnection.request, a remote attacker could exploit this vulnerability to conduct various attacks against the vulnerable system, including cross-site scripting, cache poisoning or session hijacking.",Unproven,6.5,CVE-2020-26116,Python Python 3.5.9,Gain Access,None,Network,Low,Low,Low,None
